Filename,Baseline,BaselineType,TopMargin,TopMarginType,LetterSize,LetterSizeType,LineSpacing,LineSpacingType,WordSpacing,WordSpacingType,PenPressure,PenPressureType,SlantAngle,SlantAngleType
j06-008.png,0,DESCENDING,0,MEDIUM OR BIGGER,1,SMALL,0,BIG,2,MEDIUM,1,LIGHT,5,STRAIGHT
g06-050e.png,2,STRAIGHT,1,NARROW,1,SMALL,0,BIG,2,MEDIUM,0,HEAVY,6,IRREGULAR
d06-096.png,2,STRAIGHT,1,NARROW,1,SMALL,2,MEDIUM,2,MEDIUM,1,LIGHT,3,MODERATELY INCLINED
k04-033.png,2,STRAIGHT,1,NARROW,1,SMALL,0,BIG,2,MEDIUM,1,LIGHT,2,A LITTLE INCLINED
d07-089.png,2,STRAIGHT,1,NARROW,2,MEDIUM,2,MEDIUM,1,SMALL,2,MEDIUM,5,STRAIGHT
a03-030.png,0,DESCENDING,1,NARROW,1,SMALL,0,BIG,0,BIG,2,MEDIUM,0,EXTREMELY RECLINED
g06-011l.png,0,DESCENDING,1,NARROW,1,SMALL,0,BIG,2,MEDIUM,1,LIGHT,2,A LITTLE INCLINED
b01-062.png,1,ASCENDING,1,NARROW,0,BIG,2,MEDIUM,1,SMALL,2,MEDIUM,2,A LITTLE INCLINED
c02-078.png,0,DESCENDING,1,NARROW,1,SMALL,0,BIG,1,SMALL,1,LIGHT,3,MODERATELY INCLINED
p03-103.png,2,STRAIGHT,1,NARROW,2,MEDIUM,2,MEDIUM,1,SMALL,1,LIGHT,6,IRREGULAR
a01-096u.png,1,ASCENDING,1,NARROW,1,SMALL,0,BIG,0,BIG,2,MEDIUM,6,IRREGULAR
d06-104.png,0,DESCENDING,1,NARROW,0,BIG,2,MEDIUM,1,SMALL,2,MEDIUM,3,MODERATELY INCLINED
a01-077u.png,2,STRAIGHT,1,NARROW,1,SMALL,0,BIG,0,BIG,2,MEDIUM,6,IRREGULAR
g04-098.png,2,STRAIGHT,1,NARROW,2,MEDIUM,2,MEDIUM,2,MEDIUM,2,MEDIUM,5,STRAIGHT
g06-026g.png,0,DESCENDING,1,NARROW,2,MEDIUM,2,MEDIUM,1,SMALL,2,MEDIUM,3,MODERATELY INCLINED
b01-057.png,2,STRAIGHT,1,NARROW,0,BIG,1,SMALL,1,SMALL,0,HEAVY,2,A LITTLE INCLINED
c03-000d.png,2,STRAIGHT,1,NARROW,2,MEDIUM,0,BIG,2,MEDIUM,2,MEDIUM,5,STRAIGHT
m01-090.png,2,STRAIGHT,1,NARROW,1,SMALL,0,BIG,2,MEDIUM,1,LIGHT,3,MODERATELY INCLINED
e04-083.png,1,ASCENDING,1,NARROW,1,SMALL,0,BIG,0,BIG,1,LIGHT,3,MODERATELY INCLINED
c06-014.png,2,STRAIGHT,1,NARROW,0,BIG,1,SMALL,1,SMALL,1,LIGHT,5,STRAIGHT
g06-018i.png,2,STRAIGHT,1,NARROW,1,SMALL,0,BIG,0,BIG,2,MEDIUM,6,IRREGULAR
l04-174.png,0,DESCENDING,1,NARROW,1,SMALL,0,BIG,0,BIG,1,LIGHT,6,IRREGULAR
f04-004.png,2,STRAIGHT,1,NARROW,2,MEDIUM,2,MEDIUM,1,SMALL,0,HEAVY,2,A LITTLE INCLINED
j04-019.png,0,DESCENDING,1,NARROW,1,SMALL,0,BIG,2,MEDIUM,1,LIGHT,6,IRREGULAR
e02-000.png,2,STRAIGHT,1,NARROW,1,SMALL,0,BIG,2,MEDIUM,1,LIGHT,2,A LITTLE INCLINED
g06-042o.png,0,DESCENDING,1,NARROW,2,MEDIUM,2,MEDIUM,1,SMALL,1,LIGHT,4,EXTREMELY INCLINED
p02-017.png,1,ASCENDING,1,NARROW,1,SMALL,0,BIG,2,MEDIUM,1,LIGHT,3,MODERATELY INCLINED
g06-018g.png,2,STRAIGHT,1,NARROW,2,MEDIUM,0,BIG,2,MEDIUM,2,MEDIUM,5,STRAIGHT
h04-057.png,2,STRAIGHT,1,NARROW,1,SMALL,0,BIG,2,MEDIUM,1,LIGHT,3,MODERATELY INCLINED
m01-060.png,2,STRAIGHT,1,NARROW,2,MEDIUM,0,BIG,1,SMALL,1,LIGHT,5,STRAIGHT
f07-088b.png,0,DESCENDING,1,NARROW,1,SMALL,0,BIG,2,MEDIUM,1,LIGHT,2,A LITTLE INCLINED
a02-037.png,2,STRAIGHT,1,NARROW,2,MEDIUM,0,BIG,1,SMALL,2,MEDIUM,3,MODERATELY INCLINED
n03-106.png,0,DESCENDING,1,NARROW,1,SMALL,0,BIG,0,BIG,1,LIGHT,5,STRAIGHT
g06-031n.png,2,STRAIGHT,1,NARROW,2,MEDIUM,2,MEDIUM,1,SMALL,1,LIGHT,4,EXTREMELY INCLINED
d06-086.png,2,STRAIGHT,1,NARROW,0,BIG,2,MEDIUM,1,SMALL,2,MEDIUM,4,EXTREMELY INCLINED
